Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;952.7;1013.2;952.7;951.9;-3.3;26;24.4;22;24.8;24.4;22.3;21.9;12.5;88;85;87;74;1.1;.5;
2015-01-01;0100;0;953;1013.6;953.1;952.7;-3.3;25;24;21.4;24.4;24;22.3;21.3;12.4;89;85;85;42;1.5;.4;
2015-01-01;0200;0;952.9;1013.6;953;952.7;-3.3;25;23.6;21.9;24;23.6;21.9;21.2;12.4;90;84;90;65;1.6;.6;
2015-01-01;0300;0;952.4;1013.2;952.9;952.4;-3.3;24;23;21.6;23.6;23;21.8;21.5;12.4;92;89;92;29;1.6;.6;
2015-01-01;0400;0;951.9;1012.7;952.4;951.8;-3.3;23;22.8;21.6;23;22.6;21.6;21.3;12.4;93;92;93;356;1.3;.4;
2015-01-01;0500;0;951.3;1012.1;951.9;951.3;-1.5;23;22.4;21.3;22.9;22.4;21.7;21.2;12.4;93;93;93;16;1.1;.5;
2015-01-01;0600;0;951.2;1011.9;951.5;951.2;-.7;23;22.7;21.5;22.7;22.4;21.5;21.3;12.3;93;93;93;129;1;.3;
2015-01-01;0700;0;951.4;1012.3;951.4;951.1;-2.7;23;22.2;21;22.7;22.2;21.5;21;12.3;93;93;93;177;1.4;.4;
2015-01-01;0800;0;951.9;1012.9;951.9;951.4;-3.1;22;21.8;20.6;22.2;21.7;21;20.5;12.3;93;93;93;340;1.1;.4;
2015-01-01;0900;.2;952.4;1013.4;952.4;951.9;16.5;22;21.7;20.5;21.8;21.6;20.6;20.4;12.3;93;93;93;90;1;.3;
2015-01-01;1000;0;953;1013.5;953;952.3;444.3;23;24.6;20.6;24.6;21.6;20.9;20;12.4;93;78;78;126;2;.7;
2015-01-01;1100;0;953.4;1013.4;953.5;953;1271.5;27;27.1;21.8;27.1;24.7;22.1;20.6;12.8;79;69;73;26;3.8;1.3;
2015-01-01;1200;0;953.7;1013.2;953.7;953.4;2060;30;29.3;20.8;29.4;27.1;22.1;20.6;13.1;73;60;60;346;3.6;1.2;
2015-01-01;1300;0;953.6;1012.9;953.7;953.6;2487.1;32;30.5;20.6;30.5;29.3;21.7;19.6;13.8;61;54;56;318;5;2.5;
