Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;965.2;1011.6;965.2;964.5;-3.5;29;25.3;22.3;26.5;25.3;22.6;22.3;12.4;84;79;84;21;3.5;1.4;
2015-01-01;0100;0;965.7;1012.3;965.7;965.2;-3.5;28;24.4;22.1;25.3;24.4;22.4;22;12.4;87;84;87;31;2.9;1.7;
2015-01-01;0200;0;965.9;1012.5;965.9;965.7;-3.5;27;24.2;22;24.4;24;22.3;21.9;12.4;89;87;88;39;3.1;1.2;
2015-01-01;0300;0;965.5;1012.1;966;965.5;-3.5;26;23.9;22;24.4;23.9;22.2;22;12.3;89;87;89;33;2.4;1.1;
2015-01-01;0400;0;964.9;1011.6;965.5;964.9;-3.5;26;23.4;22;24.1;23.2;22.2;21.8;12.3;92;89;92;20;2.4;1.2;
2015-01-01;0500;0;964.3;1011;964.9;964.3;-3.5;25;23.1;21.8;23.4;23.1;22.1;21.8;12.3;92;91;92;38;2.5;1;
2015-01-01;0600;0;963.8;1010.5;964.3;963.8;-3.5;24;22.9;21.9;23.2;22.7;21.9;21.7;12.3;95;92;94;43;2.6;1.6;
2015-01-01;0700;0;964.1;1010.9;964.1;963.7;-3.5;24;22.5;21.6;22.9;22.4;21.9;21.6;12.3;95;94;95;38;2.5;1.3;
2015-01-01;0800;0;964.8;1011.6;964.8;964.1;-3.5;24;22.4;21.6;22.7;22.3;21.8;21.5;12.2;95;94;95;46;2.3;1.2;
2015-01-01;0900;0;965;1011.8;965;964.7;11.9;23;22.5;21.6;22.5;22.3;21.6;21.5;12.2;95;95;95;48;2.5;1.2;
2015-01-01;1000;0;965.5;1012.1;965.5;965;464.5;24;23.9;22;23.9;22.5;22.1;21.5;12.4;95;89;89;34;3.5;1.5;
2015-01-01;1100;0;966;1012.1;966.1;965.5;1400.2;27;27.4;23.7;27.4;23.9;23.7;22;12.8;89;79;80;23;4;2.4;
