Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.11999999
Longitude: -51.40861111
Altitude: 431.92
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;961;1009.3;961;960.4;-3.5;31;29;19.5;29.4;28.9;20;19.4;12.5;58;55;56;32;2.8;1.3;
2015-01-01;0100;0;961.6;1010.1;961.6;961;-3.5;30;27.8;20.5;29;27.8;20.5;19.4;12.5;65;57;65;57;2.8;1.1;
2015-01-01;0200;0;962;1010.6;962;961.6;-3.5;29;27.2;21.1;27.9;27.2;21.1;20.5;12.5;69;65;69;55;3.5;1.9;
2015-01-01;0300;0;961.9;1010.6;962.1;961.9;-3.5;28;26.9;21.5;27.2;26.6;21.6;21.1;12.5;74;69;73;39;3.5;1.4;
2015-01-01;0400;0;961.3;1010.1;961.9;961.3;-3.5;28;26.1;21.5;26.8;26.1;21.5;21.4;12.5;76;73;76;46;4.6;1.6;
2015-01-01;0500;0;960.7;1009.5;961.3;960.6;-3.5;27;25.8;21.3;26.2;25.7;21.5;21.3;12.5;77;75;76;33;4.6;1.9;
2015-01-01;0600;0;960.7;1009.5;960.7;960.5;-3.5;27;25.6;21.1;25.8;25.5;21.3;21.1;12.4;77;76;77;42;4.6;1.9;
2015-01-01;0700;0;960.9;1009.8;960.9;960.7;-3.5;27;25.1;21.1;25.6;25.1;21.2;21.1;12.4;79;76;78;43;3.9;1.4;
2015-01-01;0800;0;961;1010;961.2;960.9;-3.5;26;25;21;25.3;24.9;21.1;21;12.4;79;78;79;45;4.2;1.6;
2015-01-01;0900;0;961.5;1010.5;961.5;961;4.8;26;24.7;21;25;24.7;21;20.9;12.4;80;78;80;43;4.2;1.3;
2015-01-01;1000;0;962.2;1011.1;962.2;961.5;179;26;25.5;21.2;25.5;24.7;21.3;21;12.4;81;76;77;24;3.4;1.6;
2015-01-01;1100;0;962.6;1011.3;962.6;962.2;255.3;27;27.2;21.5;27.2;25.5;21.9;21.1;12.6;78;70;71;4;6.7;3.1;
2015-01-01;1200;0;963.2;1011.7;963.2;962.6;506.2;29;28.5;20.9;28.6;27.2;21.8;20.9;12.9;71;64;64;25;6.7;2.7;
2015-01-01;1300;0;963.3;1011.5;963.3;963.1;1447.3;30;30.1;20.5;30.4;28.4;21.9;19.7;13.1;64;55;57;354;6.7;2.9;
2015-01-01;1400;0;963.1;1011.1;963.4;963.1;3214.8;32;31.3;19.6;31.7;30.1;21.5;19;13.3;59;48;50;342;6.5;2.7;
2015-01-01;1500;0;962.5;1010.3;963.1;962.5;3494.4;33;32.7;19.6;32.7;31.3;21.3;18;13.5;52;43;46;326;7.6;2.7;
2015-01-01;1600;0;961.7;1009.3;962.5;961.6;3726.1;34;33.6;20.8;33.6;32.2;20.8;18.1;13.8;50;42;47;319;7.5;3.1;
2015-01-01;1700;0;960.7;1008.2;961.7;960.7;3134.2;35;33.7;19.4;33.9;32.2;21.4;18.1;13.9;49;41;43;317;7.7;2.9;
2015-01-01;1800;0;959.5;1007;960.7;959.5;2682.7;35;33.5;17.3;34;31.6;20.9;17.3;13.5;51;38;38;322;9.6;2.5;
2015-01-01;1900;0;959.1;1006.6;959.5;959;2402.5;36;33.6;18.6;34.1;32.8;19.8;17.4;13;44;38;41;311;7.6;2.5;
2015-01-01;2000;0;959.6;1007.6;959.6;959.1;1961.8;35;30.1;19.6;33.8;28.7;20;17.9;13.1;57;39;53;66;8.3;1.7;
2015-01-01;2100;0;959.9;1008;960;959.5;1463.6;34;29.6;19.9;31;29.5;20.8;18;12.9;58;47;56;35;8.2;2.6;
2015-01-01;2200;0;960.4;1008.7;960.4;959.9;419.1;33;28.7;20.2;29.9;28.6;20.4;19.4;12.6;61;54;60;57;6.8;.8;
2015-01-01;2300;0;960.1;1008.5;960.4;960.1;6.9;31;28.3;20.3;29;28.1;20.5;19.6;12.6;63;57;62;57;2.7;1.1;
2015-01-02;0000;0;960.4;1008.9;960.4;960.1;-3.5;30;27.4;20.4;28.3;27.4;20.4;20;12.5;66;62;66;65;4.4;1.4;
2015-01-02;0100;0;961;1009.6;961;960.3;-3.5;29;27;20.1;27.5;27;20.4;20;12.5;67;65;66;62;2.9;1.4;
2015-01-02;0200;0;961.1;1009.8;961.3;961;-3.5;28;26.5;20.2;27;26.5;20.2;19.9;12.5;68;66;68;68;2.9;.4;
2015-01-02;0300;0;960.9;1009.6;961.2;960.9;-3.5;28;26.4;20.2;26.5;26.2;20.3;20.1;12.5;70;68;69;58;3;.9;
2015-01-02;0400;0;960.5;1009.3;960.9;960.5;-3.5;27;25.9;20.3;26.4;25.9;20.3;20.1;12.5;71;68;71;81;2.5;.6;
2015-01-02;0500;0;960.4;1009.2;960.5;960.3;-3.5;27;25.7;20.3;26;25.5;20.4;20.2;12.5;73;71;72;62;2.7;.9;
2015-01-02;0600;0;960.7;1009.7;960.7;960.4;-3.5;27;24.9;20.5;25.7;24.8;20.6;20.2;12.4;77;72;77;36;3;0;
2015-01-02;0700;0;961.2;1010.3;961.3;960.7;-3.5;26;24.5;20.6;25.1;24.5;20.6;20.4;12.4;78;76;78;96;1.4;0;
2015-01-02;0800;0;962;1011;962;961.2;-3;26;25;20.9;25;24.5;20.9;20.5;12.4;79;78;78;31;1.5;.2;
2015-01-02;0900;0;963;1012;963;962;1.4;26;25.2;21.1;25.2;24.9;21.1;20.8;12.4;79;78;78;45;1.7;0;
2015-01-02;1000;0;963.8;1012.7;963.8;963;137.5;26;26;21.4;26;25.1;21.8;20.9;12.4;79;75;76;342;1.4;0;
2015-01-02;1100;0;964;1012.6;964;963.8;255.8;27;27.8;21.3;27.8;26;21.7;20.8;12.6;76;67;68;322;1.8;.2;
2015-01-02;1200;0;964.1;1012.4;964.1;963.8;678.1;29;29.6;18.6;30.1;27.8;21.5;18.5;12.8;68;51;52;278;8.3;3.6;
2015-01-02;1300;0;964.1;1012.4;964.3;964;1464;31;30.2;18.3;31.1;29.6;20.2;18.1;13.1;53;48;49;293;8.2;3.6;
2015-01-02;1400;0;963.5;1011.4;964.1;963.5;3094.3;32;32.2;19.1;32.3;30.2;20.7;18.5;13.3;53;46;46;284;8.8;3.9;
2015-01-02;1500;0;963.1;1010.9;963.6;963;3488.9;34;32.8;17.4;33.3;32.1;20.3;17.4;13.5;50;40;40;287;9.8;4.8;
2015-01-02;1600;0;962.5;1010.1;963.1;962.4;3698.1;35;33.8;18.5;33.9;32.7;19.8;17.5;13.8;44;39;40;306;9.3;3.2;
2015-01-02;1700;0;961.9;1009.4;962.5;961.9;2727.8;35;34.4;19.4;34.4;32.7;20.2;18.3;14.2;46;40;41;285;8.5;3.4;
2015-01-02;1800;0;961.2;1008.7;962;961.2;2828.4;35;34.2;18.4;34.4;32.9;19.3;16.8;13.6;42;36;39;289;10.6;3;
2015-01-02;1900;0;960.6;1008;961.2;960.5;2667.2;36;34.2;17.9;34.6;33.8;18.8;16.6;13.2;41;35;38;273;10;5.3;
2015-01-02;2000;0;961.3;1009.3;961.3;960.5;1954.1;36;30.6;19.6;34.7;30.5;19.8;16.5;13;52;34;52;223;10.8;5;
2015-01-02;2100;0;961.3;1009.8;961.4;961.3;904.6;33;28.1;20.4;30.9;28.1;21.4;19.7;12.6;64;52;63;224;10.7;2.5;
2015-01-02;2200;0;961.9;1010.6;961.9;961.1;178.2;31;27.1;19.5;28.1;27.1;20.5;19.5;12.6;65;63;63;220;7.4;2.2;
2015-01-02;2300;0;962.8;1011.6;962.8;961.9;0;30;26.7;19.7;27.1;26.7;19.8;19.5;12.5;66;63;65;230;4.6;1.6;
2015-01-03;0000;0;963.4;1012.3;963.4;962.8;-3.5;29;26.3;19.8;26.7;26.3;19.8;19.6;12.5;68;65;68;216;3.5;0;
2015-01-03;0100;0;963.8;1012.8;963.8;963.4;-3.5;28;25.7;20;26.5;25.7;20.1;19.8;12.5;71;67;71;61;1.9;0;
2015-01-03;0200;0;964.2;1013.3;964.3;963.7;-3.5;27;25.4;20.6;25.8;25.4;20.7;20;12.5;75;71;75;24;2.4;1;
2015-01-03;0300;0;964;1013.1;964.2;963.9;-3.5;27;25.1;20.6;25.4;25;20.6;20.5;12.5;76;75;76;17;2.4;.2;
2015-01-03;0400;0;963;1012.1;964;963;-3.5;26;24.9;20.5;25.4;24.9;20.6;20.5;12.5;77;75;77;339;1.7;.4;
2015-01-03;0500;0;962.8;1011.9;963;962.7;-3.5;26;24.7;20.3;25;24.7;20.5;20.2;12.5;77;76;77;83;2;0;
2015-01-03;0600;0;962.5;1011.6;962.8;962.5;-3.4;26;24.7;20.4;24.7;24.4;20.5;20.3;12.4;78;76;77;191;1.2;0;
2015-01-03;0700;0;962.3;1011.4;962.6;962.3;-3.4;26;24.3;20.7;24.7;24.3;20.8;20.4;12.4;80;77;80;198;1.6;.2;
2015-01-03;0800;0;962.9;1012.2;962.9;962.3;-3.5;25;23.8;20.8;24.3;23.8;20.9;20.7;12.4;83;80;83;235;1.9;0;
2015-01-03;0900;0;963.4;1012.7;963.4;962.9;.9;25;23.6;20.7;23.9;23.4;20.8;20.6;12.4;85;83;84;131;1.4;0;
2015-01-03;1000;0;964.4;1013.6;964.4;963.4;139.1;25;24.8;20.6;24.8;23.6;20.8;20.5;12.4;84;78;78;247;2.3;.9;
2015-01-03;1100;0;964.8;1013.8;964.8;964.4;319.9;26;25.8;21;25.9;24.8;21.5;20.6;12.5;79;74;75;210;3.6;.9;
2015-01-03;1200;0;965;1013.7;965.1;964.8;559.9;28;27.5;20.8;27.6;25.8;21.4;20.6;12.9;76;66;67;82;2.6;.5;
2015-01-03;1300;0;965.3;1013.8;965.3;965;1294;29;29.2;20.6;29.2;27.5;21.9;20.6;13.1;69;59;60;91;3.3;.6;
2015-01-03;1400;0;965.4;1013.6;965.4;965.3;2344.7;31;31;20.1;31.2;29.2;22;20;13.2;63;52;52;225;3.5;.9;
2015-01-03;1500;0;965.1;1013.1;965.4;965.1;3066.7;33;32.2;20;32.4;30.8;21.3;18.9;13.4;56;48;49;231;4.8;1.6;
2015-01-03;1600;0;964.2;1012;965.1;964.2;3636.4;34;32.8;20.4;33.2;31.7;22;19;13.5;54;44;48;223;5;1.1;
2015-01-03;1700;0;963;1010.8;964.2;963;3274.7;35;32.6;18.9;33.6;32.5;20.9;18;13.5;48;41;44;226;5;1.9;
2015-01-03;1800;0;963;1011.6;963.2;962.7;1407.8;34;28;17.8;33.2;27.6;20.4;17.4;12.8;56;44;54;264;10.9;4.3;
2015-01-03;1900;0;962.5;1011.4;963.2;962.4;295.4;31;26;19.8;28;26;20.1;17.5;12.6;70;53;69;227;9.8;1.7;
2015-01-03;2000;0;962.1;1010.8;962.6;962.1;239.3;29;26.8;19;26.8;26;20;18.7;12.6;70;61;62;201;4.6;1.2;
2015-01-03;2100;0;962.4;1011;962.4;962;262.5;29;27.4;19.1;27.4;26.8;19.4;19;12.6;63;61;61;197;4.6;.9;
2015-01-03;2200;0;962.5;1011.1;962.6;962.1;238.9;29;27.4;19.4;28;27.4;19.5;18.9;12.6;62;58;62;159;4.8;1.4;
2015-01-03;2300;0;963.2;1012;963.6;962.5;2.8;29;26.5;18.7;27.4;26.5;19.9;18.6;12.5;65;62;62;157;6;.7;
2015-01-04;0000;0;964.2;1013.2;964.2;963.1;-3.5;28;25.7;19;26.6;25.7;19;17.7;12.5;67;58;67;101;4.9;1.3;
2015-01-04;0100;0;965.3;1014.4;965.3;964.2;-3.5;27;25.6;19.9;25.7;25.4;19.9;19;12.5;71;67;71;74;3.3;.3;
2015-01-04;0200;0;965.8;1014.9;965.9;965.3;-3.2;27;25.6;20.6;25.8;25.5;20.6;19.9;12.5;74;70;74;28;3.9;1.9;
2015-01-04;0300;0;965.8;1015;965.9;965.6;-3.1;27;24.9;20.9;25.6;24.9;21;20.6;12.5;79;74;79;20;5.9;2.4;
2015-01-04;0400;0;965.2;1014.5;965.9;965.2;-3.5;26;24;20.4;24.9;24;20.9;20.4;12.5;81;78;81;38;5.5;1.7;
2015-01-04;0500;0;964.4;1013.8;965.2;964.4;-3.5;25;23.3;20.3;24;23.3;20.4;20.3;12.4;83;81;83;30;3.9;1.5;
2015-01-04;0600;0;963.9;1013.3;964.4;963.9;-3.5;25;23.3;19.7;23.4;23.1;20.4;19.7;12.4;84;80;80;352;4.1;1.2;
2015-01-04;0700;0;963.6;1013;963.9;963.5;-3.5;25;23.1;19.2;23.4;23.1;19.7;19.2;12.4;80;78;78;330;3.7;.7;
2015-01-04;0800;0;964.3;1013.8;964.3;963.5;-3.5;24;22.9;19.3;23.2;22.8;19.3;19.1;12.3;80;78;80;274;4.2;.6;
2015-01-04;0900;0;965.5;1015;965.5;964.3;-1;24;23;19.1;23.2;22.9;19.3;19.1;12.4;80;79;79;228;2.3;.5;
2015-01-04;1000;0;966.4;1015.9;966.4;965.5;122.2;24;23.4;19.7;23.4;22.9;19.9;19.1;12.4;81;79;80;233;1.7;.4;
