Nome: VOTUPORANGA
Codigo Estacao: A729
Latitude: -20.40333333
Longitude: -49.96611111
Altitude: 510.37
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2022-09-29
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;959;1016.9;959;958.3;-3.5;29;25.4;22.6;26.9;25.4;23;22.2;12.6;85;77;84;74;1.1;.1;
2015-01-01;0100;0;959.6;1017.6;959.6;959;-3.5;28;25.1;22.2;25.4;24.5;22.9;22.1;12.6;89;84;84;99;1.9;.4;
2015-01-01;0200;0;959.7;1017.7;959.7;959.6;-3.5;27;25;22;25.5;24.6;22.3;21.9;12.5;86;81;83;126;2.3;.6;
2015-01-01;0300;0;959.3;1017.3;959.7;959.2;-3.3;27;24.7;22;25.6;24.7;22.3;21.8;12.5;85;81;85;108;2.2;.8;
2015-01-01;0400;0;958.8;1016.8;959.3;958.8;-3.5;26;24.5;21.9;25.2;24.5;22.2;21.9;12.5;86;83;85;71;2.1;.7;
2015-01-01;0500;0;958;1016;958.8;958;-3.5;26;24.3;21.9;24.8;24.3;22.2;21.7;12.5;87;84;86;204;2;0;
2015-01-01;0600;0;957.8;1015.8;958;957.8;-3.5;26;24.3;21.8;24.5;23.8;22.1;21.6;12.5;90;86;86;1;2.1;.7;
2015-01-01;0700;0;958.2;1016.3;958.2;957.8;-3.5;25;24.3;21.6;24.4;24.2;21.8;21.6;12.4;86;85;85;344;2.1;.5;
2015-01-01;0800;0;958.7;1016.8;958.7;958.2;-3.5;25;24;21.4;24.3;23.8;21.6;21.3;12.4;87;85;85;358;2;.9;
2015-01-01;0900;0;959;1017.3;959;958.7;8.8;25;23.4;21.4;24;22.6;21.6;21;12.4;92;85;88;339;2;.4;
2015-01-01;1000;0;959.5;1017.3;959.5;959;186.6;25;25.8;21.9;25.9;23.4;22.1;21.4;12.4;88;78;79;353;2.1;1.1;
2015-01-01;1100;0;960.3;1017.7;960.3;959.5;1273.3;27;28.1;21.9;28.1;25.8;22.5;21.7;12.9;80;69;69;322;4.4;2.1;
2015-01-01;1200;0;960.5;1017.6;960.5;960.3;2066.1;29;29.6;21.9;29.6;28;22.3;21.4;13.3;70;62;64;313;6.1;2.8;
