DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2020/03/10 00:43:14,GOES-16,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16,-48.81
2020/03/10 00:43:14,GOES-16,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16,-48.84
2020/03/10 01:03:14,GOES-16,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16,-48.84
2020/03/10 01:33:14,GOES-16,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16,-48.84
2020/03/10 03:36:31,NOAA-20,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16317,-48.8386
2020/03/10 03:36:31,NOAA-20,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.16423,-48.83395
2020/03/10 03:36:31,NOAA-20,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.1691,-48.83995
2020/03/10 03:36:31,NOAA-20,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,,-21.17018,-48.83526
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,14.2,-21.16831,-48.83371
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,6.7,-21.16496,-48.83312
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,0.7,-21.16553,-48.82937
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,14.2,-21.16774,-48.83747
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,14.2,-21.17108,-48.83806
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,11,0.0,1.0,14.2,-21.17165,-48.83431
2020/03/10 04:24:00,NPP-375D,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,6.7,-21.16439,-48.83688
2020/03/10 04:55:00,AQUA_M-M,Brasil,SÃO PAULO,ARIRANHA,Mata Atlântica,12,0.0,1.0,24.9,-21.169,-48.823
