DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2020/01/25 16:49:14,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,2,0.0,0.5,,-21.69662,-49.75037
2020/01/25 16:49:14,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,2,0.0,0.5,,-21.69326,-49.75094
2020/01/28 17:32:58,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,5,0.0,1.0,,-21.67502,-49.78756
2020/02/17 17:06:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,5,0.4,0.4,4.5,-21.64618,-49.7551
2020/03/02 16:55:42,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,5,0.0,0.5,,-21.64111,-49.7531
2020/03/02 16:55:42,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,5,0.0,0.5,,-21.64392,-49.75245
2020/03/12 01:18:05,METOP-B,Brasil,SÃO PAULO,LINS,Mata Atlântica,15,0.0,1.0,,-21.724000930786133,-49.69369888305664
2020/03/12 17:07:54,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,15,0.0,1.0,,-21.6427,-49.75323
2020/03/13 16:00:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,7.5,-21.70855,-49.80526
2020/03/13 16:00:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,15,0.0,1.0,11.6,-21.70738,-49.81052
2020/03/13 16:49:37,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,,-21.70313,-49.81131
2020/03/13 16:49:37,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,,-21.70594,-49.80692
2020/03/13 17:42:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,11.3,-21.70326,-49.81045
2020/03/13 17:42:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,11.3,-21.70908,-49.80914
2020/03/13 17:42:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,5.1,-21.70423,-49.81474
2020/03/13 17:42:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,16,0.0,1.0,5.1,-21.71005,-49.81345
2020/03/24 16:43:40,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,3,0.0,0.8,,-21.69597,-49.75046
2020/03/24 20:42:39,NOAA-19,Brasil,SÃO PAULO,LINS,Mata Atlântica,3,0.0,0.8,,-21.7219600677,-49.6662025452
2020/03/24 21:33:11,GOES-16,Brasil,SÃO PAULO,LINS,Mata Atlântica,3,0.0,0.8,,-21.72,-49.61
2020/03/24 21:33:11,GOES-16,Brasil,SÃO PAULO,LINS,Mata Atlântica,3,0.0,0.8,,-21.7,-49.61
2020/03/25 20:13:11,GOES-16,Brasil,SÃO PAULO,LINS,Mata Atlântica,4,0.0,0.9,,-21.7,-49.61
2020/03/25 20:13:11,GOES-16,Brasil,SÃO PAULO,LINS,Mata Atlântica,4,0.0,0.9,,-21.72,-49.61
2020/03/27 04:06:00,NPP-375D,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,0.9,-21.68765,-49.72588
2020/03/27 04:06:00,NPP-375D,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,1.8,-21.68284,-49.73022
2020/03/27 04:06:00,NPP-375D,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,0.9,-21.68669,-49.73104
2020/03/27 04:54:32,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,,-21.68646,-49.725
2020/03/27 04:54:32,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,,-21.68584,-49.73052
2020/03/27 04:54:32,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,,-21.68505,-49.73183
2020/03/27 04:54:32,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,0.0,1.0,,-21.68562,-49.72633
2020/03/28 21:36:39,NOAA-19,Brasil,SÃO PAULO,LINS,Mata Atlântica,6,1.0,0.9,,-21.7260036469,-49.6437988281
2020/04/22 16:48:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,7,0.0,1.0,2.1,-21.64146,-49.76989
2020/04/23 16:30:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,8,0.0,1.0,1.9,-21.64186,-49.75258
2020/04/25 16:43:18,NOAA-20,Brasil,SÃO PAULO,LINS,Mata Atlântica,10,0.0,1.0,,-21.65831,-49.76969
2020/04/25 17:36:00,NPP-375,Brasil,SÃO PAULO,LINS,Mata Atlântica,10,0.0,1.0,3.3,-21.64181,-49.75198
2020/04/27 04:30:00,NPP-375D,Brasil,SÃO PAULO,LINS,Mata Atlântica,11,0.0,1.0,0.7,-21.68982,-49.73212
