DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2022/02/23 13:57:00,TERRA_M-T,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,7,2.0,-999.0,20.0,-20.81377,-49.50328
2022/06/01 04:36:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Cerrado,2,0.63,1.0,0.6,-20.75656,-49.47878
2022/06/02 16:48:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Cerrado,2,0.0,1.0,6.0,-20.76186,-49.47993
2022/06/03 17:17:00,NPP-375,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,2,0.0,-999.0,5.6,-20.82692,-49.48526
2022/06/03 17:17:00,NPP-375,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,2,0.0,1.0,5.6,-20.83095,-49.48438
2022/06/06 16:22:00,NPP-375,Brasil,SÃO PAULO,MIRASSOL,Cerrado,6,0.0,1.0,4.1,-20.75885,-49.48033
2022/06/06 17:11:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Cerrado,6,0.0,1.0,2.7,-20.75889,-49.47808
2022/06/07 16:54:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,6,0.0,1.0,2.4,-20.80875,-49.53961
2022/06/17 04:36:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,5,0.0,0.59,0.7,-20.79514,-49.51533
2022/06/17 17:05:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,4,0.0,1.0,5.1,-20.89208,-49.50982
2022/07/13 17:17:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,25,0.0,0.98,2.7,-20.83261,-49.4586
2022/07/19 04:36:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,3,0.0,-999.0,0.5,-20.82335,-49.49923
2022/07/19 17:07:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,3,0.0,1.0,3.0,-20.89146,-49.5101
2022/07/20 16:45:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,3,0.0,1.0,5.3,-20.89034,-49.51047
2022/08/05 16:56:00,AQUA_M-T,Brasil,SÃO PAULO,MIRASSOL,Cerrado,20,0.0,1.0,20.6,-20.74009,-49.49295
2022/09/09 17:30:00,NOAA-20,Brasil,SÃO PAULO,MIRASSOL,Mata Atlântica,2,0.0,-999.0,5.4,-20.81319,-49.52396
