DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2021/01/03 16:45:00,AQUA_M-T,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,1,0.0,0.2,15.7,-20.691,-49.652
2021/01/21 16:12:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,0,0.4,0.2,7.7,-20.81651,-49.65292
2021/02/07 17:36:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,2,0.0,0.6,7.6,-20.81674,-49.65172
2021/03/16 03:30:00,NPP-375D,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,7,0.0,0.7,2.3,-20.60079,-49.81905
2021/05/03 04:24:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,15,0.0,1.0,2.0,-20.76897,-49.72832
2021/06/19 18:23:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,8,0.0,1.0,,-20.69,-49.86
2021/06/19 18:33:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,8,0.0,1.0,,-20.69,-49.86
2021/06/23 16:42:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,12,0.0,1.0,4.8,-20.72832,-49.88865
2021/07/04 20:03:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.63,-49.8
2021/07/04 20:03:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.81
2021/07/04 20:03:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.83
2021/07/04 20:23:18,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.81
2021/07/04 21:13:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.81
2021/07/04 21:43:18,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.83
2021/07/04 21:43:18,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,,-20.61,-49.81
2021/07/10 03:54:00,NPP-375D,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,4.3,-20.76487,-49.65777
2021/07/10 04:48:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,2.5,-20.76285,-49.65422
2021/07/10 04:48:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,2.5,-20.7668,-49.65474
2021/07/10 04:48:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,3.4,-20.76613,-49.66008
2021/08/02 16:48:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,171,0.0,1.0,3.4,-20.78076,-49.70032
2021/08/07 16:03:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,0,0.0,1.0,6.9,-20.78523,-49.73671
2021/08/07 16:03:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,0,0.0,1.0,15.6,-20.78366,-49.73531
2021/08/07 16:03:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,0,0.0,1.0,5.3,-20.77843,-49.73767
2021/08/08 04:06:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,1.2,-20.70972,-49.69768
2021/08/08 04:06:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,15.3,-20.70469,-49.70095
2021/08/08 04:06:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,15.3,-20.70551,-49.6967
2021/08/08 04:06:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,1.2,-20.7089,-49.70194
2021/08/08 04:32:00,AQUA_M-M,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,14.9,-20.70658,-49.6959
2021/08/08 04:55:00,NPP-375D,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,0.9,-20.70851,-49.69719
2021/08/08 04:55:00,NPP-375D,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,1.0,1.8,-20.70418,-49.69662
2021/08/16 16:35:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,35,0.0,1.0,5.3,-20.71231,-49.612
2021/08/16 16:35:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,36,0.0,1.0,1.9,-20.71642,-49.61154
2021/08/25 02:03:17,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,33,0.0,1.0,,-20.72,-49.92
2021/08/25 17:26:00,AQUA_M-T,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,43,0.0,1.0,75.7,-20.70699,-49.83755
2021/09/01 16:35:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,4,0.0,1.0,2.1,-20.68758,-49.72437
2021/09/04 17:20:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,9,0.0,1.0,85.5,-20.71707,-49.63202
2021/09/04 17:20:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,9,0.0,1.0,85.5,-20.71301,-49.63295
2021/09/06 19:13:16,GOES-16,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,11,0.0,1.0,,-20.73,-49.62
2021/09/07 01:34:00,TERRA_M-M,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,11.4,-20.74184,-49.6215
2021/09/07 03:51:00,NPP-375D,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,1.9,-20.74076,-49.62061
2021/09/07 04:42:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,10,0.0,1.0,1.3,-20.74155,-49.61901
2021/10/09 17:11:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,4,19.6,0.1,4.4,-20.69834,-49.87751
2021/10/12 17:05:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,2,0.0,0.5,3.7,-20.8116,-49.842
2021/11/02 16:22:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Cerrado,2,0.0,0.6,1.6,-20.66443,-49.68517
2021/11/03 17:43:00,NOAA-20,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,3,0.0,0.8,7.4,-20.79289,-49.71021
2021/11/25 16:41:00,NPP-375,Brasil,SÃO PAULO,MONTE APRAZÍVEL,Mata Atlântica,4,2.6,0.7,7.0,-20.83872,-49.90036
