DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2019/03/30 13:45:00,TERRA_M-T,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,0.0,1.0,9.4,-20.708,-50.066
2019/04/24 13:35:00,TERRA_M-T,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,0.0,1.0,5.0,-20.706,-50.062
2019/04/28 02:20:00,TERRA_M-M,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.8,1.0,14.4,-20.716,-50.097
2019/04/28 02:20:00,TERRA_M-M,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,12.5,-20.718,-50.091
2019/04/28 03:30:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,1.9,-20.71503,-50.08952
2019/04/28 03:30:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.8,1.0,2.6,-20.71324,-50.09658
2019/04/28 03:30:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,0.9,-20.71118,-50.09088
2019/04/28 03:30:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,1.3,-20.7181,-50.09304
2019/04/28 03:30:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,8,3.8,1.0,1.3,-20.71634,-50.10012
2019/04/28 04:16:45,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,,-20.71714,-50.09169
2019/04/28 04:16:45,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,10,3.9,1.0,,-20.71439,-50.0871
2019/04/28 04:16:45,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.8,0.9,,-20.71306,-50.09497
2019/04/28 04:16:45,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,,-20.71373,-50.09103
2019/04/28 05:12:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,1.1,-20.71809,-50.09367
2019/04/28 05:12:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.9,1.0,1.1,-20.71278,-50.08896
2019/04/28 05:12:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,9,3.8,1.0,1.1,-20.71239,-50.09313
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,0.9,2.2,-20.73045,-50.08875
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,0.8,2.2,-20.72924,-50.09464
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,0.9,6.4,-20.72807,-50.1003
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,1.0,6.0,-20.7268,-50.08173
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,1.0,10.1,-20.7256,-50.08755
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,1.0,10.1,-20.72438,-50.09346
2019/05/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,0,0.2,1.0,3.1,-20.72321,-50.09916
2019/05/14 16:45:13,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,,-20.72263,-49.9667
2019/05/14 16:45:13,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,,-20.71982,-49.971
2019/05/14 16:45:13,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,,-20.72318,-49.97047
2019/05/14 16:45:13,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,,-20.72373,-49.97424
2019/05/14 16:45:13,NOAA-20,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,,-20.71927,-49.96724
2019/05/14 17:35:00,AQUA_M-T,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,22.9,-20.715,-49.962
2019/05/14 17:35:00,AQUA_M-T,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,53.4,-20.722,-49.968
2019/05/14 17:42:00,NPP-375,Brasil,SÃO PAULO,NHANDEARA,Mata Atlântica,5,0.3,1.0,7.4,-20.71815,-49.96835
