DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2024/01/02 17:04:00,AQUA_M-T,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,0,0.98,0.38,25.6,-20.54684,-49.43139
2024/01/07 12:59:00,TERRA_M-T,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,2,0.55,0.5,8.2,-20.5466,-49.42521
2024/02/05 17:15:00,NOAA-21,Brasil,SÃO PAULO,NOVA GRANADA,Mata Atlântica,0,16.66,0.0,4.5,-20.47138,-49.23565
2024/05/16 16:09:00,NPP-375,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.63,44.6,-20.55457,-49.29689
2024/05/16 16:09:00,NPP-375,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.85,5.8,-20.54854,-49.2976
2024/05/16 16:37:00,NOAA-20,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.75,46.8,-20.55397,-49.29506
2024/05/16 17:24:00,NOAA-21,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.72,26.2,-20.55455,-49.29517
2024/05/16 17:24:00,NOAA-21,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.83,4.1,-20.55001,-49.29616
2024/05/16 17:24:00,NOAA-21,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.74,20.0,-20.55084,-49.29789
2024/05/16 17:24:00,NOAA-21,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.63,20.0,-20.55537,-49.29689
2024/05/16 17:49:00,NPP-375,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.71,5.7,-20.55528,-49.29535
2024/05/16 17:49:00,NPP-375,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.85,5.1,-20.55369,-49.29309
2024/05/16 17:58:00,AQUA_M-T,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.68,12.5,-20.55303,-49.29716
2024/05/16 18:47:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,90.1,-20.5633,-49.2991
2024/05/16 20:47:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,96.4,-20.5633,-49.2991
2024/05/16 21:37:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,105.4,-20.5633,-49.2991
2024/05/16 21:37:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,1.0,83.8,-20.564,-49.2761
2024/05/16 21:57:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,1.0,87.3,-20.564,-49.2761
2024/05/16 21:57:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,86.2,-20.5633,-49.2991
2024/05/16 22:07:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,98.3,-20.5633,-49.2991
2024/05/16 22:07:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,1.0,78.3,-20.564,-49.2761
2024/05/16 22:17:00,GOES-16,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,31,0.0,0.91,76.1,-20.5633,-49.2991
2024/05/17 00:36:37,METOP-C,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,32,0.0,0.78,,-20.557199478149414,-49.295101165771484
2024/05/17 03:47:00,NOAA-20,Brasil,SÃO PAULO,NOVA GRANADA,Cerrado,32,0.0,0.74,1.6,-20.55061,-49.29853
