DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2018/03/09 16:40:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,-999.0,26.5,-22.142,-51.404
2018/05/03 16:48:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,1.0,3.4,-22.11154,-51.36497
2018/05/04 16:30:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,-999.0,6.4,-22.07104,-51.37012
2018/05/08 04:30:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,1.0,3.3,-22.15561,-51.36931
2018/05/15 16:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,3,0.0,1.0,1.1,-21.90413,-51.3003
2018/05/21 16:12:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,2,0.0,0.8,6.7,-22.09591,-51.3679
2018/05/21 16:35:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,2,0.0,0.9,26.9,-22.104,-51.368
2018/05/21 16:35:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,2,0.0,0.4,33.2,-22.095,-51.374
2018/05/28 16:40:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,8,0.0,1.0,54.4,-21.897,-51.319
2018/05/28 16:40:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,8,0.0,1.0,68.6,-21.902,-51.314
2018/05/28 16:40:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,149.3,-21.895,-51.295
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,4.0,-21.89743,-51.3005
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,7.1,-21.89247,-51.29594
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,9.5,-21.89366,-51.29271
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,7.1,-21.89539,-51.28969
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,7.1,-21.89642,-51.29515
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,6.5,-21.8976,-51.29188
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,6.6,-21.89859,-51.29731
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,5.0,-21.90137,-51.29969
2018/05/28 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,6.6,-21.90253,-51.29647
2018/06/01 17:48:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,1.3,1.0,5.6,-22.14074,-51.46204
2018/06/26 16:36:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,-999.0,4.8,-22.13019,-51.37358
2018/06/30 17:00:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,2,0.0,1.0,3.7,-22.16753,-51.45639
2018/07/01 23:29:24,NOAA-18,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,3,0.0,1.0,,-22.1645355225,-51.4749336243
2018/07/01 23:29:24,NOAA-18,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,3,0.0,1.0,,-22.1657714844,-51.4830856323
2018/07/02 01:55:00,TERRA_M-M,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,9.1,-22.131,-51.471
2018/07/02 01:55:00,TERRA_M-M,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,29.6,-22.13,-51.459
2018/07/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,1.3,-22.12918,-51.46156
2018/07/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,1.3,-22.12329,-51.46367
2018/07/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,1.9,-22.12839,-51.4642
2018/07/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,1.3,-22.12845,-51.46494
2018/07/02 03:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,4,0.0,1.0,1.9,-22.12914,-51.46082
2018/07/10 17:12:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,24,0.7,0.9,2.6,-22.07916,-51.36858
2018/07/15 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,1.0,41.7,-21.89584,-51.31592
2018/07/15 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,19,0.0,1.0,2.8,-22.16274,-51.4304
2018/07/15 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,0,0.0,1.0,41.7,-21.89193,-51.31678
2018/07/16 01:33:09,METOP-B,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,25,0.0,-999.0,,-22.08180046081543,-51.40119934082031
2018/07/16 01:33:09,METOP-B,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,23,0.0,-999.0,,-22.085100173950195,-51.41419982910156
2018/07/16 02:05:00,TERRA_M-M,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,21,0.0,-999.0,9.9,-22.09,-51.425
2018/07/16 02:05:00,TERRA_M-M,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,23,0.0,-999.0,5.0,-22.089,-51.416
2018/07/17 16:42:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,30,0.0,-999.0,2.1,-22.07764,-51.37143
2018/07/18 16:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,23,0.0,1.0,3.5,-22.15698,-51.42342
2018/07/18 17:10:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,22,0.0,1.0,6.9,-22.162,-51.431
2018/07/18 17:10:00,AQUA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,23,0.0,1.0,6.5,-22.161,-51.421
2018/07/27 18:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.28
2018/07/27 18:48:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 18:48:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.28
2018/07/27 19:03:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 19:18:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 19:33:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 19:33:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 20:03:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 20:03:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 20:03:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 20:18:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.28
2018/07/27 20:18:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 20:18:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 20:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.28
2018/07/27 20:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.79,-51.3
2018/07/27 20:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 20:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 21:03:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.28
2018/07/27 21:03:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 21:03:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 21:18:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.32
2018/07/27 21:18:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 21:18:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 21:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 21:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.28
2018/07/27 21:33:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.75,-51.3
2018/07/27 22:03:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 22:18:10,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 22:33:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/27 23:18:11,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,13,0.0,1.0,,-21.77,-51.3
2018/07/28 16:36:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,14,0.0,1.0,11.3,-21.78468,-51.31334
2018/07/28 16:36:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,17,0.0,1.0,5.4,-22.18271,-51.3672
2018/07/28 16:36:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,14,0.0,1.0,2.2,-21.77618,-51.31457
2018/07/31 13:55:00,TERRA_M-T,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,21,0.0,1.0,8.9,-22.076,-51.403
2018/07/31 17:24:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,22,0.0,-999.0,16.5,-22.08065,-51.40488
2018/08/29 16:36:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,5,0.0,1.0,2.8,-22.00047,-51.33676
2018/08/30 03:48:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,6,0.0,1.0,1.1,-22.11752,-51.46846
2018/08/31 18:33:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,-999.0,,-22.12,-51.45
2018/08/31 19:33:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,1.0,,-22.12,-51.47
2018/08/31 19:33:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,-999.0,,-22.12,-51.45
2018/08/31 19:48:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,-999.0,,-22.12,-51.45
2018/08/31 20:18:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,-999.0,,-22.12,-51.45
2018/08/31 20:33:08,GOES-16,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,0.0,-999.0,,-22.12,-51.45
2018/09/01 04:30:00,AQUA_M-M,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,2.5,0.9,8.0,-22.12,-51.461
2018/09/01 04:54:00,NPP-375D,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,7,2.6,0.8,5.7,-22.11836,-51.46436
2018/09/07 17:12:00,NPP-375,Brasil,SÃO PAULO,PRESIDENTE PRUDENTE,Mata Atlântica,5,0.0,1.0,3.5,-22.13706,-51.35501
