DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2023/01/11 17:00:00,AQUA_M-T,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,0,9.33,-999.0,10.9,-20.42489,-49.97259
2023/01/18 17:26:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,0,9.08,-999.0,4.8,-20.40335,-49.99113
2023/01/19 17:09:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,0,3.93,0.0,2.3,-20.40653,-49.92723
2023/01/26 17:24:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,2,0.0,-999.0,5.4,-20.4053,-49.98802
2023/02/01 16:24:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,3,12.18,-999.0,5.4,-20.40412,-49.98903
2023/02/15 17:02:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,2,8.85,0.0,3.4,-20.43996,-49.86514
2023/03/24 17:07:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,3,6.2,0.0,19.7,-20.44331,-49.8642
2023/03/24 17:07:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,3,6.07,0.0,6.1,-20.44397,-49.86816
2023/03/24 17:07:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,3,6.25,0.0,4.5,-20.43986,-49.86481
2023/04/25 03:47:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,0.17,3.0,-20.44935,-50.01078
2023/04/25 04:38:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,0.16,4.3,-20.45059,-50.01345
2023/04/25 04:38:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,0.17,4.3,-20.45116,-50.00971
2023/04/25 05:27:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,0.16,2.8,-20.4463,-50.01141
2023/04/28 04:29:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,2,0.0,0.18,3.8,-20.45149,-50.00955
2023/04/28 05:23:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,2,0.0,0.18,1.0,-20.45306,-50.00827
2023/04/28 05:23:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,2,0.0,0.17,1.3,-20.45263,-50.01323
2023/05/06 16:09:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,9,0.0,0.65,9.5,-20.45244,-50.01147
2023/05/06 16:09:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,10,0.0,0.66,8.7,-20.45577,-50.01042
2023/05/06 17:49:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,9,0.0,0.65,6.4,-20.44976,-50.00942
2023/05/07 04:14:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,10,0.05,0.7,0.9,-20.44995,-50.01046
2023/05/07 05:01:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,10,0.04,0.7,0.9,-20.45149,-50.01064
2023/06/06 17:20:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,0.86,6.6,-20.49375,-50.05809
2023/06/08 17:32:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,8,0.0,1.0,3.4,-20.45234,-50.01158
2023/06/29 04:17:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,5,0.0,1.0,1.7,-20.45003,-50.01167
2023/06/29 04:17:00,NPP-375D,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,4,0.0,1.0,1.6,-20.45236,-50.00888
2023/06/30 17:20:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,6,0.0,1.0,3.8,-20.45088,-50.00975
2023/07/28 04:23:00,NOAA-20,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,13,0.0,1.0,0.8,-20.48716,-49.95704
2023/07/29 17:26:00,NPP-375,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,14,0.0,1.0,3.1,-20.45373,-50.01168
2023/08/18 02:46:59,GOES-16,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,5,0.0,1.0,82.6,-20.4446,-49.9385
2023/08/18 02:46:59,GOES-16,Brasil,SÃO PAULO,VOTUPORANGA,Cerrado,9,0.0,1.0,56.8,-20.4651,-49.9342
